"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H"
"285263 (1998 QE2)",2.421,0.5728,12.88,250.07,345.69,1.034,3.81,3.77,9251,0,1913,4,0,17.28
"286080 (2001 TX1)",1.047,0.4825,2.80,159.14,354.18,0.542,1.55,1.07,7237,0,160,,,21.24
"288807 (2004 RW164)",1.49,0.3766,36.78,164.93,342.88,0.929,2.05,1.82,8062,0,274,,,18.46
"289315 (2005 AN26)",2.32,0.6379,4.92,175.79,208.49,0.840,3.80,3.53,6795,0,123,,,18.51
"290772 (2005 VC)",2.085,0.5929,4.49,227.79,290.38,0.849,3.32,3.01,5014,1,79,,,17.47
"292220 (2006 SU49)",1.412,0.3117,2.52,303.06,199.10,0.972,1.85,1.68,8286,0,515,,,19.39
"294739 (2008 CM)",1.566,0.4080,36.01,279.54,130.69,0.927,2.20,1.96,5908,0,1880,7,1,17.04
"297274 (1996 SK)",2.445,0.7905,1.97,195.51,286.33,0.512,4.38,3.82,9489,0,469,,,16.93
"297300 (1998 SC15)",1.273,0.4144,16.08,198.68,277.49,0.745,1.80,1.44,9460,0,582,1,2,19.29
"297418 (2000 SP43)",0.8115,0.4669,10.34,350.53,224.46,0.433,1.19,0.731,8421,0,1155,0,1,18.52
"301844 (1990 UA)",1.642,0.5260,0.93,104.28,202.58,0.778,2.51,2.1,7703,0,185,,,19.71
"302169 (2001 TD45)",0.7966,0.7777,25.37,30.25,212.45,0.177,1.42,0.711,8086,0,288,4,1,20.00
"302831 (2003 FH)",1.389,0.5406,25.80,24.12,274.37,0.638,2.14,1.64,6823,0,407,2,1,19.12
"303450 (2005 BY2)",1.269,0.3306,7.29,74.44,130.28,0.850,1.69,1.43,6201,0,187,,,20.55
"304330 (2006 SX217)",1.412,0.3103,21.04,32.60,176.24,0.974,1.85,1.68,8060,0,353,13,3,18.90
"306383 (1993 VD)",0.8758,0.5515,2.07,2.17,254.24,0.393,1.36,0.82,10283,0,172,0,1,21.49
"307005 (2001 XP1)",2.89,0.7528,39.21,268.07,246.31,0.714,5.07,4.91,3653,0,206,,,18.14
"308242 (2005 GO21)",0.7533,0.3400,24.93,272.67,156.64,0.497,1.01,0.654,6709,0,435,6,2,16.27
"308635 (2005 YU55)",1.157,0.4305,0.34,35.93,273.56,0.659,1.65,1.24,5857,0,4010,9,10,21.91
"310442 (2000 CH59)",0.863,0.4231,3.25,213.44,109.76,0.498,1.23,0.802,8762,0,560,,,19.82
"310560 (2001 QL142)",1.049,0.4991,26.60,165.55,72.15,0.526,1.57,1.08,16496,0,367,0,1,17.80
"311044 (2004 BB103)",1.908,0.6220,55.86,271.07,71.49,0.721,3.09,2.63,6846,0,320,,,17.11
"311066 (2004 DC)",1.634,0.3996,19.46,74.90,156.37,0.981,2.29,2.09,7214,0,330,7,1,18.29
"312070 (2007 TA19)",0.9539,0.5096,22.63,181.18,58.06,0.468,1.44,0.932,5947,0,214,,,19.41
"314082 Dryope (2005 CZ36)",2.235,0.5766,16.18,116.62,139.53,0.946,3.52,3.34,6518,0,288,,,17.50
"314212 (2005 NJ1)",2.132,0.6511,6.46,316.16,82.62,0.744,3.52,3.11,2402,0,179,,,18.57
"317255 (2002 DJ5)",1.401,0.5678,6.43,347.86,296.19,0.605,2.20,1.66,7342,0,453,,,19.87
"325395 (2009 CQ5)",0.9327,0.0914,18.68,278.65,118.24,0.847,1.02,0.901,4594,0,508,,,17.44
"326290 Akhenaten (1998 HE3)",0.879,0.4402,3.38,53.44,309.34,0.492,1.27,0.824,10233,0,342,1,0,21.83
"329437 (2002 OA22)",0.9356,0.2432,6.89,174.04,318.64,0.708,1.16,0.905,7729,0,918,6,0,19.41
"329614 (2003 KU2)",2.69,0.6770,5.40,105.21,246.81,0.869,4.51,4.41,6884,0,330,2,0,17.79
"330233 (2006 KV86)",1.543,0.3740,37.08,220.04,153.86,0.966,2.12,1.92,6114,0,135,,,18.82
"331876 (2004 CL)",1.284,0.5362,13.31,109.39,274.69,0.596,1.97,1.46,6987,0,158,,,20.56
"332446 (2008 AF4)",1.38,0.4101,8.93,109.31,293.35,0.814,1.95,1.62,7660,0,1150,0,1,19.69
"333521 (2005 PO)",1.252,0.3731,12.51,300.48,249.55,0.785,1.72,1.4,6286,0,155,,,20.08
"333578 (2006 KM103)",1.573,0.3766,11.68,169.45,197.03,0.981,2.17,1.97,8290,0,354,4,3,20.20
"337075 (1998 QC1)",1.984,0.5901,9.65,308.34,115.47,0.813,3.15,2.79,9319,0,187,,,19.81
"337558 (2001 SG262)",1.962,0.5829,4.82,359.03,100.26,0.818,3.11,2.75,8313,0,170,,,19.44
"341843 (2008 EV5)",0.9602,0.0827,7.45,93.23,235.84,0.881,1.04,0.941,5922,0,1403,8,0,20.05
"342866 (2008 YU32)",1.537,0.5955,3.41,232.57,83.97,0.622,2.45,1.91,1958,0,183,,,20.24
"344076 (1998 HJ3)",1.985,0.7463,6.56,223.55,94.19,0.504,3.47,2.8,9398,0,272,,,18.99
"348306 (2005 AY28)",0.8726,0.5702,5.88,117.47,155.97,0.375,1.37,0.815,6203,0,246,0,2,21.55
"348314 (2005 BC)",1.19,0.2781,30.12,292.45,84.20,0.859,1.52,1.3,6248,0,1630,,,18.01
"348400 (2005 JF21)",2.226,0.5351,10.84,132.18,206.14,1.035,3.42,3.32,7359,0,1234,1,0,17.35
"349068 (2006 YT13)",1.323,0.4258,38.24,116.69,105.45,0.760,1.89,1.52,5725,0,454,4,1,18.34
"349507 (2008 QY)",1.168,0.5817,13.56,1.91,254.90,0.488,1.85,1.26,12491,0,1035,6,3,18.50
"350523 (2000 EA14)",1.117,0.2026,3.56,203.83,206.06,0.891,1.34,1.18,7034,0,185,,,21.16
"350751 (2002 AW)",1.072,0.2567,0.57,161.76,119.33,0.796,1.35,1.11,8035,0,700,1,0,20.82
"352102 (2007 AG12)",2.09,0.6565,41.97,305.39,68.23,0.718,3.46,3.02,5503,0,228,,,19.35
"354182 (2002 DU3)",1.145,0.2383,8.71,0.61,245.59,0.873,1.42,1.23,8288,0,266,,,20.77
"356991 (1998 QA1)",2.102,0.5339,8.19,298.85,333.15,0.980,3.22,3.05,9223,0,200,,,19.07
"357022 (1999 YG3)",1.285,0.3295,34.52,293.25,250.24,0.861,1.71,1.46,8234,0,323,,,19.07
"357024 (1999 YR14)",1.651,0.4000,3.73,2.98,9.70,0.991,2.31,2.12,8866,0,1287,7,0,19.47
"357028 (2000 EJ26)",1.383,0.6147,9.23,10.48,285.90,0.533,2.23,1.63,7924,0,143,,,19.46
"357439 (2004 BL86)",1.502,0.4025,23.78,126.65,311.51,0.898,2.11,1.84,6359,0,1068,9,4,19.29
"357594 (2004 XL35)",1.355,0.2784,27.30,73.75,356.21,0.978,1.73,1.58,8008,0,196,,,19.64
"357622 (2005 EY95)",1.084,0.5384,3.17,72.86,342.14,0.500,1.67,1.13,7632,0,319,1,1,20.32
"358471 (2007 NS4)",1.875,0.5972,5.78,10.96,47.58,0.755,2.99,2.57,2061,0,83,,,19.18
"358744 (2008 CR118)",1.842,0.5118,3.92,121.42,157.22,0.899,2.78,2.5,7554,0,492,,,18.99
"359170 (2009 CN5)",1.545,0.4655,11.91,349.71,53.25,0.826,2.26,1.92,2235,1,83,,,19.95
"359369 (2009 YG)",2.15,0.6960,3.38,138.62,67.77,0.654,3.65,3.15,4406,0,169,,,18.52
"360191 (1988 TA)",1.54,0.4786,2.53,194.65,105.26,0.803,2.28,1.91,8984,0,304,5,4,21.08
"361754 (2007 YV29)",1.373,0.3568,21.88,59.30,321.87,0.883,1.86,1.61,7955,0,206,,,19.18
"363024 (1998 OK1)",1.356,0.4293,13.99,109.64,298.64,0.774,1.94,1.58,9371,0,287,3,0,19.42
"363027 (1998 ST27)",0.8198,0.5298,21.06,197.52,322.43,0.385,1.25,0.742,9509,0,792,6,1,19.64
"363067 (2000 CO101)",1.076,0.0901,15.32,353.03,64.95,0.979,1.17,1.12,7383,0,1146,6,0,19.21
"363084 (2000 RD53)",1.787,0.4278,9.28,175.95,192.84,1.022,2.55,2.39,6896,0,329,4,5,20.21
"363116 (2001 GQ2)",1.214,0.5030,21.82,37.11,280.30,0.604,1.83,1.34,7326,0,593,1,2,20.32
"363305 (2002 NV16)",1.239,0.2208,3.50,183.26,179.24,0.965,1.51,1.38,8020,0,426,4,0,21.41
"363344 (2002 QC7)",1.169,0.1960,26.80,336.01,184.47,0.940,1.40,1.26,7159,0,182,2,3,19.98
"363505 (2003 UC20)",0.7812,0.3369,3.78,187.93,60.16,0.518,1.04,0.691,25241,0,1054,3,5,18.47
"363599 (2004 FG11)",1.587,0.7236,3.14,83.45,228.81,0.439,2.73,2,7323,0,470,4,4,21.04
"363734 (2004 XN50)",1.681,0.7782,3.31,62.40,253.41,0.373,2.99,2.18,7077,0,310,,,18.82
"363790 (2005 JE46)",1.903,0.5523,8.27,238.33,114.77,0.852,2.95,2.63,14176,0,917,4,0,17.85
"363831 (2005 PY16)",1.976,0.5250,6.41,159.31,193.53,0.939,3.01,2.78,5299,0,236,,,19.35
"364136 (2006 CJ)",0.6766,0.7548,10.22,303.22,29.67,0.166,1.19,0.557,5872,0,547,5,3,20.19
"365014 (2008 OX2)",1.048,0.6019,6.65,220.11,252.03,0.417,1.68,1.07,5891,0,299,,,20.10
"365071 (2009 AV)",1.03,0.0739,45.87,150.73,322.13,0.954,1.11,1.04,3170,0,1195,1,0,18.18
"365424 (2010 KX7)",0.9893,0.1709,21.49,46.46,61.93,0.820,1.16,0.984,1103,1,95,1,1,21.91
"366746 (2004 LJ)",1.087,0.4614,18.28,246.69,256.10,0.585,1.59,1.13,6263,0,315,,,20.16
"366774 (2004 TB18)",1.815,0.4507,13.20,120.98,13.18,0.997,2.63,2.44,6926,0,698,,,17.87
"367248 (2007 MK13)",1.025,0.1397,19.88,95.08,259.97,0.881,1.17,1.04,2183,1,310,,,20.21
"367789 (2011 AG5)",1.424,0.3882,3.69,135.59,54.05,0.871,1.98,1.7,5397,0,444,4,2,21.77
"368203 (2001 KO2)",2.479,0.6177,12.46,242.30,328.84,0.948,4.01,3.9,4456,0,122,,,20.56
"368565 (2004 FE5)",1.245,0.6005,18.30,189.40,243.47,0.497,1.99,1.39,7459,0,161,,,20.09
"369057 (2008 DK5)",1.555,0.6151,4.27,345.62,81.00,0.598,2.51,1.94,2700,0,157,,,21.32
"369264 (2009 MS)",2.005,0.5700,52.38,252.05,219.54,0.862,3.15,2.84,5575,0,472,3,2,16.34
"371660 (2007 CN26)",1.292,0.2693,7.59,159.27,135.69,0.944,1.64,1.47,5802,0,286,7,5,21.11
"373135 (2011 SD173)",1.653,0.4974,4.39,203.12,59.49,0.831,2.48,2.13,6998,0,217,,,19.52
