"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H"
"    1P/Halley",17.93,0.9679,162.20,59.07,112.21,0.575,35.28,75.9,57852,0,8518,,,
"    2P/Encke",2.22,0.8484,11.48,334.29,187.03,0.337,4.10,3.31,2133,1,570,,,
"    3D/Biela",3.535,0.7513,13.22,250.67,221.66,0.879,6.19,6.65,,,26,,,
"    5D/Brorsen",3.101,0.8098,29.38,102.97,14.95,0.590,5.61,5.46,,,127,,,
"    7P/Pons-Winnecke",3.419,0.6376,22.33,93.42,172.51,1.239,5.60,6.32,37122,0,1679,,,
"    8P/Tuttle",5.7,0.8198,54.98,270.34,207.51,1.027,10.37,13.6,20161,0,1768,,,
"   12P/Pons-Brooks",17.18,0.9546,74.19,255.86,198.99,0.781,33.59,71.2,26006,0,8017,,,
"   13P/Olbers",16.66,0.9298,44.63,85.84,64.58,1.170,32.16,68,50051,0,2184,,,
"   15P/Finlay",3.49,0.7202,6.80,13.75,347.63,0.977,6.00,6.52,5058,0,1655,,,
"   18D/Perrine-Mrkos",3.56,0.6426,17.76,240.88,166.05,1.272,5.85,6.72,2584,1,16,,,
"   20D/Westphal",15.64,0.9198,40.89,348.01,57.08,1.254,30.03,61.9,22321,0,201,,,
"   21P/Giacobini-Zinner",3.5,0.7105,32.00,195.40,172.81,1.013,5.99,6.55,4786,0,1988,,,
"   23P/Brorsen-Metcalf",17.07,0.9720,19.33,311.59,129.61,0.479,33.66,70.5,51904,0,223,,,
"   24P/Schaumasse",4.086,0.7048,11.73,79.67,58.00,1.206,6.97,8.26,6464,3,832,,,
"   26P/Grigg-Skjellerup",3.027,0.6391,22.47,211.66,1.80,1.093,4.96,5.27,6110,0,501,,,
"   27P/Crommelin",9.093,0.9193,29.22,250.96,195.96,0.734,17.45,27.4,20203,0,455,,,
"   34D/Gale",4.944,0.7607,11.73,67.92,209.16,1.183,8.70,11,,,47,,,
"   35P/Herschel-Rigollet",28.84,0.9740,64.21,355.98,29.30,0.748,56.94,155,,,75,,,
"   41P/Tuttle-Giacobini-Kresak",3.085,0.6613,9.23,141.06,62.17,1.045,5.13,5.42,2498,3,4300,,,
"   45P/Honda-Mrkos-Pajdusakova",3.026,0.8240,4.25,88.93,326.34,0.533,5.52,5.26,2067,1,1823,8,4,
"   46P/Wirtanen",3.093,0.6588,11.75,82.16,356.34,1.055,5.13,5.44,3693,2,4224,0,1,
"   55P/Tempel-Tuttle",10.34,0.9056,162.49,235.27,172.50,0.976,19.70,33.2,48407,,392,,,
"   66P/du Toit",6.023,0.7866,18.67,22.00,257.34,1.285,10.76,14.8,16304,0,547,,,
"   67P/Churyumov-Gerasimenko",3.462,0.6409,7.04,50.14,12.80,1.243,5.68,6.44,5442,0,8608,,,
"   72P/Denning-Fujikawa",4.347,0.8205,9.23,35.44,338.47,0.781,7.91,9.06,16324,1,66,,,
"   73P/Schwassmann-Wachmann 3",3.091,0.6855,11.24,69.66,199.39,0.972,5.21,5.44,2740,3,515,,,
"   73P/Schwassmann-Wachmann 3-A",3.067,0.6957,11.42,69.94,198.83,0.933,5.20,5.37,58,7,62,,,
"   73P/Schwassmann-Wachmann 3-B",3.062,0.6933,11.40,69.89,198.80,0.939,5.18,5.36,3806,2,1484,,,
"   73P/Schwassmann-Wachmann 3-C",3.063,0.6922,11.38,69.84,198.87,0.943,5.18,5.36,5853,0,3223,,,
"   73P/Schwassmann-Wachmann 3-E",3.062,0.6939,11.41,69.92,198.77,0.937,5.19,5.36,4021,0,129,,,
"   73P/Schwassmann-Wachmann 3-G",3.063,0.6934,11.39,69.91,198.77,0.939,5.19,5.36,72,5,551,,,
"   73P/Schwassmann-Wachmann 3-H",3.065,0.6936,11.39,69.91,198.77,0.939,5.19,5.37,68,5,112,,,
"   73P/Schwassmann-Wachmann 3-J",3.044,0.6915,11.38,69.83,198.87,0.939,5.15,5.31,28,7,42,,,
"   73P/Schwassmann-Wachmann 3-K",3.064,0.6935,11.39,69.90,198.79,0.939,5.19,5.36,47,6,42,,,
"   73P/Schwassmann-Wachmann 3-L",3.076,0.6947,11.40,69.94,198.75,0.939,5.21,5.4,58,6,39,,,
"   73P/Schwassmann-Wachmann 3-M",3.068,0.6939,11.39,69.91,198.78,0.939,5.20,5.37,44,7,73,,,
"   73P/Schwassmann-Wachmann 3-N",3.052,0.6923,11.38,69.90,198.76,0.939,5.17,5.33,41,6,133,,,
"   73P/Schwassmann-Wachmann 3-P",3.085,0.6956,11.41,69.96,198.72,0.939,5.23,5.42,29,7,55,,,
"   73P/Schwassmann-Wachmann 3-Q",3.118,0.6986,11.42,70.14,198.50,0.940,5.30,5.51,17,9,37,,,
"   73P/Schwassmann-Wachmann 3-R",3.07,0.6941,11.39,69.91,198.77,0.939,5.20,5.38,39,6,280,,,
"   73P/Schwassmann-Wachmann 3-S",3.334,0.6934,11.05,81.99,181.56,1.022,5.65,6.09,1,9,11,,,
"   73P/Schwassmann-Wachmann 3-T",3.061,0.6930,11.40,69.89,198.81,0.940,5.18,5.35,4087,1,44,,,
"   73P/Schwassmann-Wachmann 3-U",3.024,0.6894,11.36,69.83,198.84,0.939,5.11,5.26,16,8,21,,,
"   73P/Schwassmann-Wachmann 3-V",3.002,0.6935,11.57,66.63,203.11,0.920,5.08,5.2,10,9,11,,,
"   73P/Schwassmann-Wachmann 3-W",3.112,0.6983,11.42,70.04,198.63,0.939,5.29,5.49,29,8,15,,,
"   73P/Schwassmann-Wachmann 3-X",3.083,0.6954,11.40,69.94,198.74,0.939,5.23,5.41,36,6,38,,,
"   73P/Schwassmann-Wachmann 3-Y",3.332,0.7181,11.55,70.63,198.01,0.939,5.72,6.08,34,8,15,,,
"   73P/Schwassmann-Wachmann 3-Z",3.073,0.6934,11.34,70.58,197.91,0.942,5.20,5.39,6,9,16,,,
"   73P/Schwassmann-Wachmann 3-AA",2.941,0.6806,11.30,69.57,199.11,0.939,4.94,5.04,19,8,36,,,
"   73P/Schwassmann-Wachmann 3-AB",3.042,0.6912,11.37,69.86,198.82,0.939,5.14,5.31,31,7,35,,,
"   73P/Schwassmann-Wachmann 3-AC",3.083,0.6954,11.41,69.93,198.75,0.939,5.23,5.41,30,7,45,,,
"   73P/Schwassmann-Wachmann 3-AD",3.068,0.6934,11.37,70.22,198.37,0.941,5.19,5.37,6,9,11,,,
"   73P/Schwassmann-Wachmann 3-AE",3.096,0.6967,11.41,69.97,198.71,0.939,5.25,5.45,20,8,43,,,
"   73P/Schwassmann-Wachmann 3-AF",2.908,0.6763,11.24,69.85,198.72,0.941,4.87,4.96,7,9,25,,,
"   73P/Schwassmann-Wachmann 3-AG",3.087,0.6958,11.41,69.96,198.71,0.939,5.23,5.42,24,7,79,,,
"   73P/Schwassmann-Wachmann 3-AH",3.075,0.6934,11.33,70.71,197.74,0.943,5.21,5.39,3,9,19,,,
"   73P/Schwassmann-Wachmann 3-AI",3.111,0.6982,11.43,69.97,198.73,0.939,5.28,5.49,31,8,17,,,
"   73P/Schwassmann-Wachmann 3-AJ",2.786,0.6624,11.14,69.39,199.21,0.941,4.63,4.65,19,9,19,,,
"   73P/Schwassmann-Wachmann 3-AK",3.058,0.6934,11.43,69.38,199.33,0.938,5.18,5.35,11,9,12,,,
"   73P/Schwassmann-Wachmann 3-AL",3.128,0.6998,11.44,69.98,198.72,0.939,5.32,5.53,14,9,15,,,
"   73P/Schwassmann-Wachmann 3-AM",3.036,0.6934,11.54,68.12,201.09,0.931,5.14,5.29,2,9,12,,,
"   73P/Schwassmann-Wachmann 3-AN",3.076,0.6948,11.41,69.89,198.80,0.939,5.21,5.4,18,8,43,,,
