"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H"
"       (2006 YJ2)",1.771,0.4178,10.75,107.79,319.00,1.031,2.51,2.36,31,7,74,,,22.10
"       (2006 YR2)",2.481,0.5812,8.94,245.70,174.56,1.039,3.92,3.91,57,6,84,,,21.50
"       (2006 YX2)",1.009,0.1660,28.73,88.62,245.25,0.841,1.18,1.01,1,9,16,,,24.10
"       (2006 YD12)",1.849,0.4468,3.88,283.40,200.76,1.023,2.67,2.51,60,8,86,,,22.60
"       (2006 YC13)",1.463,0.3774,25.25,289.95,277.53,0.911,2.02,1.77,6080,0,91,,,20.43
"       (2006 YH14)",1.853,0.4212,8.35,293.19,185.28,1.073,2.63,2.52,56,6,32,,,23.20
"       (2006 YP44)",2.543,0.6266,1.99,88.24,333.06,0.949,4.14,4.06,26,8,44,,,23.75
"       (2007 AM)",0.7988,0.4670,11.72,107.10,172.52,0.426,1.17,0.714,5501,1,98,,,21.82
"       (2007 AA2)",1.033,0.1208,10.55,287.81,96.31,0.908,1.16,1.05,19,7,31,,,24.60
"       (2007 AC2)",2.418,0.7436,9.51,294.36,91.18,0.620,4.22,3.76,27,7,99,,,21.80
"       (2007 AF2)",1.721,0.4213,17.00,289.55,211.93,0.996,2.45,2.26,3358,0,48,,,21.77
"       (2007 AS2)",2.586,0.6247,3.76,308.17,121.66,0.971,4.20,4.16,101,6,92,,,22.10
"       (2007 AU2)",1.611,0.4892,6.49,110.17,66.43,0.823,2.40,2.05,5,8,24,,,24.10
"       (2007 AV2)",1.438,0.4741,12.31,285.82,293.44,0.756,2.12,1.72,4615,1,74,,,21.17
"       (2007 AB12)",2.299,0.7210,7.81,65.38,283.13,0.641,3.96,3.49,40,7,43,,,18.90
"       (2007 AC12)",2.78,0.5481,23.84,51.09,4.29,1.256,4.30,4.64,5148,0,92,,,18.12
"       (2007 AH12)",2.042,0.4542,10.47,126.52,0.70,1.115,2.97,2.92,1043,1,204,,,20.50
"       (2007 BB)",0.9339,0.1412,3.53,297.51,300.84,0.802,1.07,0.903,2,7,21,,,27.80
"       (2007 BD)",0.7335,0.3444,9.27,297.39,359.34,0.481,0.99,0.628,4,6,303,,,25.40
"       (2007 BJ)",3.122,0.6978,44.48,298.68,134.32,0.944,5.30,5.52,9,9,36,,,22.60
"       (2007 BS2)",1.576,0.2909,6.52,113.91,9.29,1.118,2.03,1.98,791,1,36,,,23.20
"       (2007 BD7)",1.561,0.4979,4.84,343.79,219.70,0.784,2.34,1.95,14,8,184,,,21.10
"       (2007 BT7)",2.172,0.5406,17.47,294.47,117.54,0.998,3.35,3.2,5847,0,87,,,20.10
"       (2007 BU7)",0.945,0.3367,21.14,120.32,241.58,0.627,1.26,0.919,7,8,15,,,24.10
